926 955
827 771 -626
24 443 -842
381 66 -385
770 502 -419
43 142 -611
708 886 440
483 394 909
296 25 -362
111 44 395
783 482 -327
488 616 257
340 796 -365
620 44 436
187 243 -821
744 268 786
584 40 343
602 310 -424
781 613 147
892 919 501
425 40 -836
292 785 -423
309 416 13
234 301 -399
411 689 -434
608 606 517
789 629 -586
800 757 365
92 520 463
664 754 -629
180 314 163
298 297 502
76 752 -368
918 380 259
75 609 -813
29 738 921
12 181 996
851 135 921
839 456 -531
428 532 -384
256 500 -489
293 728 -275
924 505 334
108 623 410
848 355 -770
505 694 189
295 296 643
582 901 155
688 625 500
851 709 560
15 525 717
397 87 543
76 690 -122
392 795 -845
914 890 516
859 860 -214
883 75 -635
836 226 -460
240 290 -152
478 265 -174
497 721 658
76 572 397
194 464 -232
395 278 626
663 294 524
227 784 -753
867 87 -434
165 557 59
418 197 794
763 819 -617
15 159 -986
74 327 805
326 535 -90
327 846 -717
441 818 195
359 216 263
571 572 388
91 787 -755
591 798 -207
474 772 724
148 538 -591
260 40 -246
42 483 908
48 79 -765
891 612 606
631 86 922
371 203 286
437 201 712
56 482 -568
85 34 -862
735 867 -531
716 740 596
119 679 -657
160 263 677
732 108 -656
277 602 -94
20 784 656
825 712 784
898 911 -783
578 331 812
699 539 519
759 427 -563
199 318 -612
13 514 -932
860 303 437
249 822 -422
698 416 25
889 597 -599
768 753 -255
381 777 -246
181 601 484
531 499 -554
297 400 -905
404 889 582
768 388 -262
575 406 -762
67 429 -311
884 396 750
751 834 -154
51 878 -846
908 108 -964
859 654 -466
806 224 -639
546 920 961
380 741 -765
287 850 566
712 621 -211
453 891 -605
595 76 -134
828 217 697
647 602 898
294 461 77
673 275 -2
469 870 60
158 641 -181
215 723 -905
686 245 -393
565 24 -186
573 160 -163
616 279 891
113 785 893
858 358 852
397 728 566
453 60 31
891 839 814
645 686 -343
438 610 655
86 9 -241
322 385 -811
667 615 -225
145 341 740
602 801 422
832 95 225
260 38 756
844 383 776
171 662 1000
529 519 -499
42 212 -232
566 735 -92
439 355 -84
35 711 203
562 101 854
185 881 -679
581 802 -725
570 15 -531
110 661 -316
900 684 89
808 418 798
919 287 -105
861 904 -270
336 418 -709
23 1 -386
451 164 -220
500 147 543
765 22 -499
94 447 102
369 298 705
371 858 971
617 643 -624
367 126 -702
17 152 23
312 156 -823
431 745 -542
130 307 691
52 407 129
466 869 624
825 439 -875
700 424 -600
904 668 747
801 864 -787
90 184 16
87 917 706
388 175 -74
85 238 -41
896 820 -874
88 729 -612
629 825 -173
798 285 -309
60 461 -164
359 404 -485
384 321 528
325 622 -386
783 429 954
312 839 -533
368 626 587
114 368 -3
193 416 -354
573 866 -142
782 764 745
897 82 187
821 33 461
416 170 -489
821 492 69
501 155 426
280 659 549
619 893 -851
851 116 520
463 734 -384
419 61 -711
693 659 241
854 324 372
60 314 133
26 502 552
138 921 45
222 45 -362
315 275 -625
277 283 -941
143 78 611
780 428 975
291 146 -326
724 354 -751
228 905 343
732 292 599
427 631 624
834 437 -704
151 824 901
924 259 290
98 447 833
591 884 568
263 201 965
585 46 -847
360 344 -445
657 727 -505
648 121 577
751 404 455
659 895 851
894 564 -791
591 839 -597
648 555 -295
727 295 884
190 111 776
895 4 781
495 839 -381
127 807 879
256 887 555
525 627 295
867 793 330
401 737 -178
287 467 -672
751 500 108
836 463 -791
131 422 88
556 15 861
280 477 -344
387 595 394
406 189 15
846 25 -28
16 882 -168
661 784 190
574 117 176
767 843 368
815 716 -99
627 727 -985
618 444 -537
761 123 850
48 404 -716
895 22 -757
123 722 -167
571 342 920
337 586 -16
781 253 600
466 692 -839
492 307 633
636 923 689
89 678 -797
101 709 -775
770 371 739
323 123 600
626 177 528
895 297 702
271 889 -133
66 127 999
14 627 652
274 284 472
525 604 721
35 871 -717
470 759 872
339 735 -201
268 168 -499
375 684 -619
330 35 695
650 652 136
513 131 -529
169 615 72
594 454 162
710 334 -13
426 866 -586
314 377 -638
42 881 -465
925 887 22
93 613 -118
892 425 -3
398 295 -381
77 11 -764
446 452 408
120 309 -465
917 407 125
762 257 -664
243 852 -25
32 513 -503
442 728 581
37 304 457
827 799 716
567 173 -977
542 101 -271
687 333 -711
209 381 -794
789 447 998
647 348 -586
73 745 738
764 726 695
326 678 -312
809 369 64
874 434 379
691 2 -799
223 79 991
915 682 -866
601 897 -175
761 571 96
325 223 236
