18
958 1763
883 388 15
24 437 374
513 335 730
779 383 934
929 809 649
714 209 171
317 106 255
946 688 936
952 510 869
421 31 492
717 506 680
19 273 606
309 129 346
17 682 683
54 683 225
363 173 844
545 285 667
603 456 645
839 930 404
752 762 896
346 630 73
765 845 792
560 405 491
744 721 832
334 352 676
297 38 224
657 171 858
384 879 677
571 627 72
273 340 430
60 650 476
469 256 864
919 155 24
288 268 225
819 561 378
446 163 691
715 739 810
556 80 77
895 934 802
331 830 97
499 706 791
745 740 76
760 565 293
639 951 584
453 685 498
791 226 173
809 705 761
624 644 228
302 631 329
150 143 908
14 238 797
584 556 128
710 212 900
321 131 731
378 555 255
611 620 196
800 882 18
798 273 520
280 561 5
104 461 831
158 837 680
69 203 607
368 285 639
524 587 408
274 20 58
507 421 352
449 323 485
668 866 88
591 503 991
283 321 687
486 233 22
43 310 118
493 558 502
682 439 761
613 359 588
875 911 495
794 450 242
668 896 371
589 207 852
786 122 997
795 340 87
407 519 509
610 422 426
355 121 92
253 920 568
410 280 142
476 883 807
803 256 782
870 630 20
317 2 345
562 18 578
75 702 369
766 851 700
728 473 331
318 871 236
129 835 1
231 901 266
702 249 557
4 315 20
93 341 779
568 913 474
742 81 620
882 717 455
801 787 140
71 40 751
348 72 234
683 901 244
791 157 682
279 693 510
559 464 411
861 351 671
727 88 375
709 580 744
837 47 422
511 567 439
459 345 926
670 540 501
499 897 326
501 534 805
71 864 793
442 652 203
455 260 198
191 804 83
909 737 938
115 708 821
681 173 806
437 5 420
298 850 585
799 237 438
303 772 605
787 240 699
33 559 65
254 159 902
217 946 910
473 529 569
255 635 715
210 239 173
431 355 149
800 200 883
574 217 144
483 317 628
25 150 848
656 836 904
923 84 381
487 768 833
160 923 995
167 60 329
383 813 439
764 395 217
484 611 220
276 759 403
452 102 891
935 886 510
98 870 133
903 310 371
586 845 388
643 77 819
691 710 418
942 791 559
755 357 969
645 333 175
527 340 249
155 903 145
399 760 477
40 794 477
39 450 36
847 466 744
811 562 533
849 176 950
790 700 737
174 544 721
285 931 351
575 376 704
30 914 334
401 81 999
670 518 758
75 87 277
956 761 113
819 468 191
765 20 600
178 359 577
107 21 842
180 250 903
56 604 778
393 320 525
817 825 756
762 878 1000
833 626 164
149 489 804
278 536 566
905 4 542
279 287 746
