981 2921
367 377 564
487 600 567
933 761 688
469 821 890
195 594 540
960 441 101
477 485 673
732 646 703
319 487 729
431 848 186
453 435 602
211 325 411
805 481 442
789 278 132
610 942 884
683 167 63
151 766 194
124 756 255
622 218 570
979 172 798
123 70 238
842 315 233
740 712 692
76 373 942
576 475 15
789 933 664
565 857 346
799 218 155
864 32 676
357 225 93
111 822 205
469 163 53
106 22 886
269 554 52
270 850 979
176 589 199
41 51 9
769 187 484
555 397 390
707 248 928
787 980 702
574 884 136
106 641 473
291 311 896
360 818 72
841 395 506
955 853 124
950 880 611
855 385 928
546 514 541
483 169 250
583 882 608
455 496 397
247 819 873
301 320 892
469 153 815
291 35 580
914 862 499
792 865 578
41 1 775
937 110 591
42 899 349
472 483 830
454 196 55
567 88 874
101 537 357
626 394 874
312 25 749
739 176 488
828 474 17
461 367 70
308 840 215
790 207 599
795 969 711
574 375 139
25 935 261
149 48 555
635 592 588
560 484 409
586 61 550
269 899 321
866 934 664
110 55 953
957 83 748
783 363 739
605 971 994
951 609 278
224 929 348
757 684 616
282 703 406
431 642 953
685 857 179
689 258 282
812 961 673
248 180 920
795 551 10
633 328 351
891 706 713
701 417 828
905 966 373
478 654 259
676 279 608
565 339 906
897 48 778
429 397 111
1 278 400
374 757 829
342 224 467
565 123 68
266 661 166
193 436 663
231 179 17
691 965 315
573 482 266
410 713 243
54 131 931
9 238 788
542 177 604
365 211 542
698 353 84
74 837 955
218 287 54
835 392 253
227 503 761
453 253 602
589 688 282
423 516 72
230 652 178
134 681 484
726 415 975
643 965 996
573 845 427
425 861 588
139 887 894
541 812 457
418 930 50
769 969 909
195 383 796
224 407 118
233 616 616
608 863 246
410 743 215
716 95 931
49 794 691
705 303 898
439 630 796
670 283 21
694 376 275
625 405 531
131 357 223
85 184 342
292 841 632
202 847 707
678 607 662
429 330 701
859 622 561
141 147 901
583 946 914
554 496 700
973 82 646
738 646 998
939 969 608
232 288 201
548 331 74
410 869 953
489 842 302
729 692 456
959 314 532
417 636 827
654 310 264
660 380 984
155 723 350
457 776 822
178 245 827
561 213 210
716 643 806
76 689 805
183 155 866
224 696 289
429 102 573
172 218 918
374 798 25
591 827 892
298 662 71
160 452 344
807 662 727
374 118 880
85 567 781
741 257 850
40 867 81
448 660 517
861 438 880
248 736 41
21 75 870
381 95 762
211 508 50
107 291 915
408 823 247
827 153 32
832 154 108
392 899 944
549 149 177
287 261 113
310 774 743
115 453 882
89 232 898
627 344 868
438 192 986
610 151 793
779 560 135
879 913 981
67 71 264
764 273 72
629 480 225
25 125 104
306 881 802
98 138 409
648 142 67
512 227 354
546 352 707
258 281 458
123 512 738
740 661 992
508 348 690
92 82 580
198 390 587
900 327 629
5 676 620
47 603 200
126 755 268
422 577 188
489 756 875
181 212 97
3 392 178
214 614 266
499 121 216
43 141 569
846 964 757
969 820 727
316 854 721
454 439 276
349 25 205
922 730 96
450 257 526
980 279 413
25 783 398
300 314 280
893 804 242
960 306 498
451 867 623
482 138 406
879 60 553
191 978 270
242 390 26
303 720 838
871 401 576
3 463 123
975 812 920
120 307 368
431 288 366
137 587 681
534 817 687
422 10 867
165 480 757
388 508 62
508 883 157
849 584 636
237 480 42
969 239 624
472 448 989
745 219 989
954 864 149
425 920 381
676 511 596
671 105 14
221 296 727
221 423 103
