17
944 811
182 259 840
775 512 -301
853 634 185
134 312 221
672 569 785
221 832 717
421 570 204
732 683 173
269 135 686
64 127 -831
821 40 -402
42 911 -307
638 571 580
45 261 -568
186 857 -433
305 128 -411
15 543 -804
297 751 -654
738 690 -788
911 693 -117
581 97 934
475 295 341
53 362 611
352 196 -480
200 437 -739
713 423 -73
882 687 10
416 232 -471
467 244 70
857 464 923
620 343 586
509 47 -926
17 414 700
197 624 315
418 99 839
549 498 326
301 50 -36
740 457 -193
542 373 362
175 907 119
81 898 -599
570 219 739
324 315 -939
293 703 -555
16 583 -805
910 58 -623
147 64 -208
401 695 -280
195 716 -983
46 709 69
742 14 631
286 577 165
874 332 87
570 563 520
835 436 412
118 943 436
762 530 821
627 74 314
444 259 585
584 317 -448
627 880 458
640 569 -575
459 21 -419
179 597 887
203 537 -801
157 395 358
856 586 469
121 628 207
740 729 363
16 375 66
743 822 681
891 818 -512
408 119 423
417 478 -644
567 592 -797
703 873 553
102 211 481
538 154 423
659 828 -489
751 867 85
835 607 -502
681 530 542
407 457 840
95 906 -742
55 873 -900
458 540 -75
859 765 -142
585 213 771
102 489 -725
847 923 -284
128 843 942
754 273 707
504 355 217
585 341 -643
449 726 -504
729 590 572
330 607 -113
555 648 846
238 44 993
328 934 452
234 147 612
238 340 795
907 199 920
556 298 102
888 865 -223
858 442 290
652 772 -377
586 280 716
497 239 12
628 461 -194
927 102 543
685 178 -248
197 665 639
532 720 26
23 904 -713
369 38 -867
868 452 -593
210 430 667
818 22 -742
83 918 -241
7 304 -465
814 458 330
633 115 -277
725 716 -246
66 41 -88
153 721 820
468 30 888
589 550 -768
919 368 -607
259 490 -50
259 455 -577
407 661 -222
758 23 582
579 409 152
769 681 -777
63 905 -138
401 63 639
377 859 -187
486 78 -899
700 791 479
379 174 -934
342 34 -602
680 105 -873
18 135 600
223 650 -822
589 643 528
735 728 -562
469 249 163
194 787 -662
745 905 -623
433 496 -555
386 152 547
685 390 -720
729 774 550
418 225 320
689 535 -882
695 594 -734
712 916 -550
595 309 914
231 178 -511
508 907 155
548 869 804
453 881 -473
781 812 -309
463 778 646
810 769 524
890 191 -154
492 742 401
149 855 624
362 886 -399
584 233 416
729 779 323
928 204 -808
304 294 -530
661 35 -421
648 766 -946
728 338 23
888 709 -839
652 396 -357
603 201 10
772 472 410
501 278 -547
550 837 645
227 189 -231
82 684 415
831 848 901
871 252 262
209 914 -469
406 851 489
8 471 400
917 872 -157
140 611 378
530 607 -503
317 586 -877
654 824 -488
315 274 -296
764 217 745
307 930 -407
829 473 -828
166 147 -673
536 95 704
565 141 -516
28 48 215
933 72 -963
711 836 361
692 784 -945
321 390 -83
927 481 -885
798 302 -428
841 163 98
667 824 965
715 399 697
263 383 -961
132 858 -27
831 421 -679
719 82 662
868 580 -904
899 215 477
730 57 -303
377 87 629
869 836 48
791 65 690
781 494 -690
